79545.46,6,7,4,23086.8,1059033.56
79248.64,6,7,3,40173.1,1505890.92
61287.07,6,9,5,36882.2,1058987.99
63345.24,7,6,3,34310.2,1260616.81
59982.2,5,8,4,26354.1,630943.49
80175.75,5,6,4,26748.4,1068138.07
64698.46,6,8,3,60828.2,1502055.82
78394.34,7,7,2,36516.4,1573936.56
59927.66,5,6,2,29387.4,798869.53
81885.93,4,8,6,40150,1545154.81
80527.47,8,5,4,47224.4,1707045.72
50593.7,4,7,4,34344,663732.40
39033.81,8,7,3,39220.4,1042814.10
73163.66,7,6,2,32326.1,1291331.52
69391.38,5,8,4,35521.3,1402818.21
73091.87,5,9,4,23929.5,1306674.66
79706.96,5,8,3,39717.8,1556786.60
61929.08,5,5,4,24595.9,528485.25
63508.19,6,7,5,35719.7,1019425.94
62085.28,6,7,5,44922.1,1030591.43
86295,7,8,4,47560.8,2146925.34
60835.09,6,7,2,45574.7,929247.60
64490.65,4,5,4,40359,718887.23
60697.35,6,7,6,28141,743999.82
59748.86,5,8,4,27810,895737.13
56974.48,8,7,4,40694.9,1453974.51
82173.63,4,7,2,38853.9,1125692.51
64626.88,5,7,4,27784.7,975429.49
90499.06,6,4,3,33970.2,1240763.77
59323.79,7,8,4,37520.7,1577017.76
77811.52,5,7,3,33754.7,1246830.19
68652.61,6,6,4,39355.6,1170720.89
55041.35,7,9,5,30122.5,1071279.21
50218.71,6,7,6,16810.8,534305.13
55909.32,5,9,6,22355.2,936368.96
74372.81,6,7,2,39395.2,1199193.83
78667.9,5,8,4,27637.7,1233220.01
78699.52,6,7,3,22836.6,1081150.13
53128.19,5,5,2,32947.7,524712.77
17796.63,5,7,3,47162.2,302355.84
58566.85,7,5,2,39705.5,1026817.40
75537.79,8,8,6,32778.2,1762214.68
46147.05,7,8,4,27161.1,882057.17
70421.48,7,8,4,43183.9,1744932.21
62614.42,5,7,6,26888.6,1153871.47
66394.87,7,7,3,39741.1,1499988.88
73946.85,5,8,6,35261.1,1109588.38
69144.75,7,6,3,19030.6,980177.31
77278.7,6,7,2,21726,1323952.03
86754.2,7,6,4,43017.4,1662494.74
74399.84,6,7,6,41084.7,1417819.74
49408.2,6,6,3,26881.1,549976.15
62279.79,6,6,4,35263.7,1054770.98
73078.2,6,6,3,54916,1415647.55
72942.71,5,7,6,24377.9,948788.28
63819.62,6,8,4,27825.6,1159596.52
73265.45,8,7,3,21031,1547133.40
68488.13,6,7,5,18268,1186688.51
55193.86,7,5,4,32537.8,772111.97
77434.69,6,5,3,36252.3,1172730.16
66158.88,4,7,2,37098.7,1111085.02
60502.91,8,6,4,33579.6,1022781.17
60910.89,6,7,4,43347.8,1274474.55
73931.98,6,5,4,36543.1,1213530.85
59539.95,6,7,5,58600.8,1411730.48
56547.51,5,7,3,37585.3,858685.57
65950.35,5,7,3,40110.8,1200961.82
74533.16,7,6,4,49481.6,1520234.23
66422.92,7,7,6,31019.3,1360908.32
74334.49,5,6,4,41640.4,1360920.53
63538.35,5,7,3,43282.2,1146532.46
83953.1,7,7,3,37283.4,1789098.52
57279.06,5,7,3,44023.8,852099.46
56553.55,6,7,3,29682.4,746096.73
75795.58,6,7,6,33197.8,1534479.91
70848.79,5,7,3,40458.7,1215608.53
59787.4,6,7,3,32402.1,941594.33
64826.37,4,8,4,60286,1204598.04
65925.85,8,7,3,34171.4,1597655.26
64419.25,7,9,6,39318.2,1492011.50
58544.46,9,7,4,30865.6,1421216.50
68791.79,5,7,4,48423.3,1132522.90
82061.57,4,6,4,36271.4,1102821.44
80659.53,5,7,6,52947,1856211.35
66668.09,6,8,3,47075.2,1687998.93
64721.56,6,7,4,36115.8,1063423.01
65199.99,6,7,3,28366,1177289.89
74579.99,5,6,3,42806.1,1173474.38
76273.67,8,5,3,46974.6,1637260.00
